node_id,x,y,temperature
1,0.1000000010,0.0049999999,1200.000000
2,0.0546918176,0.0049999999,1200.000000
3,0.0226540919,0.0049999999,1200.000000
4,0.0000000000,0.0049999999,1200.000000
5,0.1000000010,-0.0403081849,1200.000000
6,0.0623899326,-0.0326100662,1200.000000
7,0.0303522106,-0.0253522098,1200.000000
8,0.0000000000,-0.0176540911,1200.000000
9,0.1000000010,-0.0723459050,1200.000000
10,0.0696477890,-0.0646477863,1200.000000
11,0.0376100652,-0.0573899336,1200.000000
12,0.0000000000,-0.0496918149,1200.000000
13,0.1000000010,-0.0949999988,1200.000000
14,0.0773459077,-0.0949999988,1200.000000
15,0.0453081839,-0.0949999988,1200.000000
16,0.0000000000,-0.0949999988,1200.000000
